"label","selec","start","end","path","file","threshold","ribbit"
"P",3,975.75,1245.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_114302.wav","hmm",0.139174466108079
"P",13,2730.75,3598.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_114302.wav","hmm",0.101750243343341
"P",10,2229.75,2559.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_124302.wav","hmm",0.128145871589229
"P",13,3145.25,3598.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_124302.wav","hmm",0.114500108000252
"P",1,0.25,654.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_134302.wav","hmm",0.122051511717372
"P",2,755.25,1037.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_134302.wav","hmm",0.0887822694452177
"P",4,1970.75,2168.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_134302.wav","hmm",0.0602121900960816
"P",3,1011.75,1610.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_144302.wav","hmm",0.10198529924779
"P",4,2016.75,2629.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_144302.wav","hmm",0.117140248257387
"P",6,2799.25,3598.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_144302.wav","hmm",0.11924210315386
"P",3,991.75,1229.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_154303.wav","hmm",0.092370100583164
"P",4,1272.75,1647.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_154303.wav","hmm",0.129183525211353
"P",8,2553.75,3597.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_154303.wav","hmm",0.103676917973524
"P",2,95.25,344.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_164303.wav","hmm",0.171524111128735
"P",8,1374.25,1942.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_164303.wav","hmm",0.182908924641129
"P",16,2917.75,3458.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_164303.wav","hmm",0.0747792659169033
"P",3,581.25,796.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_174302.wav","hmm",0.13735426028017
"P",11,1683.75,2448.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_174302.wav","hmm",0.0847985521247215
"P",12,2495.75,3374.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_174302.wav","hmm",0.132672485232502
"P",1,0.25,2765.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_184303.wav","hmm",0.092745405609416
